time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
3428, 1744, 9.926360, 0.052672, -2.439692, -0.113779, -0.123106, 0.056224, 32.950588
3438, 1695, 9.835381, 0.100556, -2.468422, -0.121240, -0.154815, 0.036505, 32.956470
3448, 1686, 9.674969, 0.208296, -2.597709, -0.117776, -0.174266, 0.028245, 32.944706
3458, 1697, 9.691729, 0.263362, -2.760514, -0.111115, -0.181194, 0.025580, 32.941765
3468, 1707, 9.744401, 0.277727, -2.825158, -0.114845, -0.201712, 0.014922, 32.956470
3478, 1695, 9.648633, 0.323217, -2.659958, -0.109783, -0.213170, -0.001332, 32.950588
3488, 1678, 9.236830, 0.392649, -2.592921, -0.083136, -0.169204, -0.006129, 32.944706
3498, 1730, 8.722076, 0.493206, -2.868254, -0.039170, -0.038637, -0.005862, 32.950588
3508, 1701, 8.461109, 0.562637, -3.454833, -0.016787, 0.161210, -0.006129, 32.959412
3518, 1793, 8.609550, 0.581791, -4.115633, -0.025847, 0.334410, -0.011191, 32.959412
3528, 1850, 8.963891, 0.548272, -4.508282, -0.038904, 0.405023, -0.013590, 32.935883
3538, 1812, 9.339781, 0.435745, -4.474763, -0.042634, 0.376245, -0.013856, 32.959412
3548, 1895, 9.629479, 0.335188, -4.153940, -0.037571, 0.337608, -0.021850, 32.965294
3558, 1799, 9.830592, 0.318429, -3.701436, -0.027446, 0.333611, -0.017587, 32.971176
3568, 1831, 10.029311, 0.284910, -3.033453, -0.019452, 0.359458, -0.012524, 32.965294
3578, 1876, 10.160992, 0.260968, -2.554613, -0.020518, 0.398894, -0.012524, 32.962353
3588, 1878, 10.345345, 0.335188, -2.248155, -0.035440, 0.451920, -0.010925, 32.965294
3598, 1921, 10.441113, 0.411803, -1.944092, -0.075675, 0.476968, -0.030643, 32.971176
3608, 1989, 10.556035, 0.423774, -1.637634, -0.123905, 0.450588, -0.050894, 32.971176
3618, 1981, 10.644621, 0.392649, -1.307234, -0.170270, 0.383706, -0.064750, 32.956470
3628, 1884, 10.702082, 0.347159, -1.120486, -0.211571, 0.304034, -0.075675, 32.962353
3638, 1883, 10.627861, 0.407014, -1.108515, -0.244346, 0.218766, -0.088199, 32.971176
3648, 1876, 10.400413, 0.486023, -1.283292, -0.270992, 0.148420, -0.102588, 32.974117
3658, 1853, 9.969456, 0.550666, -1.666364, -0.274989, 0.110049, -0.115378, 32.980000
3668, 1828, 9.543288, 0.581791, -2.183512, -0.253406, 0.120974, -0.126836, 32.953529
3678, 1873, 9.330204, 0.711078, -2.758120, -0.210505, 0.174266, -0.140692, 32.965294
3688, 1798, 9.291897, 0.761356, -3.260903, -0.136162, 0.245678, -0.155081, 32.974117
3698, 1836, 9.390059, 0.727837, -3.416526, -0.062086, 0.317090, -0.160677, 32.980000
3708, 1857, 9.562442, 0.651223, -3.196259, -0.018119, 0.361057, -0.148153, 32.965294
3718, 1823, 9.727641, 0.572214, -2.674323, -0.005596, 0.366386, -0.124704, 32.977058
3728, 1833, 9.859323, 0.464475, -2.128445, -0.010126, 0.344003, -0.102855, 32.956470
3738, 1892, 9.926360, 0.387861, -1.692701, -0.018652, 0.319489, -0.088466, 32.977058
3748, 1822, 9.959879, 0.280122, -1.307234, -0.026380, 0.314426, -0.082603, 32.971176
3758, 1842, 9.967062, 0.265756, -0.984017, -0.038371, 0.314959, -0.067681, 32.959412
3768, 1859, 9.969456, 0.363919, -0.814029, -0.067149, 0.286714, -0.045299, 32.977058
3778, 1886, 9.993398, 0.543484, -0.715866, -0.105519, 0.223562, -0.023715, 32.971176
3788, 1856, 9.993398, 0.768539, -0.723049, -0.129234, 0.149219, -0.006129, 32.968235
3798, 1866, 9.914390, 0.931344, -0.866701, -0.127636, 0.096193, 0.010126, 32.965294
3808, 1905, 9.758766, 1.072602, -1.089362, -0.107651, 0.086867, 0.020518, 32.953529
3818, 1856, 9.622296, 1.094150, -1.367089, -0.077541, 0.109516, 0.022916, 32.974117
3828, 1905, 9.560047, 1.055843, -1.537078, -0.039969, 0.139360, 0.019718, 32.974117
3838, 1937, 9.593566, 0.945710, -1.601721, -0.009060, 0.168671, 0.011991, 32.974117
3848, 1930, 9.658210, 0.852336, -1.527501, 0.008793, 0.185191, 0.001332, 32.988823
3858, 1946, 9.744401, 0.735020, -1.391031, 0.019985, 0.194251, -0.014123, 32.965294
3868, 1919, 9.844957, 0.679953, -1.266533, 0.027979, 0.213969, -0.026913, 32.968235
3878, 1822, 9.931149, 0.646434, -1.163582, 0.032508, 0.235819, -0.034640, 32.971176
3888, 1863, 9.974244, 0.634463, -1.106121, 0.035972, 0.251807, -0.042101, 32.971176
3898, 1843, 10.002975, 0.612916, -1.122881, 0.036239, 0.264331, -0.047963, 32.994705
3908, 1818, 10.019734, 0.612916, -1.151611, 0.034374, 0.262998, -0.055957, 32.985882
3918, 1816, 10.012551, 0.581791, -1.165976, 0.041835, 0.241681, -0.061286, 32.988823
3928, 1808, 9.947908, 0.529119, -1.122881, 0.052493, 0.216368, -0.063152, 32.985882
3938, 1840, 9.974244, 0.459687, -0.960075, 0.047963, 0.194251, -0.066349, 32.985882
3948, 1783, 9.969456, 0.407014, -0.732626, 0.042101, 0.175599, -0.076741, 32.991764
3958, 1723, 9.861717, 0.416591, -0.529119, 0.049562, 0.183060, -0.088199, 32.971176
3968, 1529, 9.689334, 0.538695, -0.557849, 0.052760, 0.232888, -0.087666, 32.971176
3978, 2126, 9.588778, 0.706290, -0.632069, 0.032775, 0.308564, -0.079406, 32.968235
3988, 3561, 9.591172, 0.845153, -0.718261, -0.010392, 0.374913, -0.071145, 32.982941
3998, 3239, 9.550470, 0.962469, -0.940921, -0.062086, 0.420744, -0.066882, 32.982941
4008, 2067, 9.560047, 1.041478, -1.240196, -0.105519, 0.454585, -0.054891, 32.980000
4018, 1735, 9.674969, 1.029507, -1.616086, -0.130300, 0.461247, -0.040502, 32.968235
4028, 1653, 9.818622, 0.979228, -1.958457, -0.140692, 0.429271, -0.022649, 32.971176
4038, 1623, 9.928755, 0.912191, -2.030283, -0.129501, 0.366919, 0.002132, 32.988823
4048, 1607, 9.825804, 0.919373, -1.994370, -0.102588, 0.324018, 0.026913, 32.991764
4058, 1614, 9.770737, 0.964863, -1.999158, -0.079139, 0.337608, 0.043700, 33.000587
4068, 1611, 9.792285, 0.998382, -1.975216, -0.073011, 0.377311, 0.032508, 32.991764
4078, 1622, 9.897630, 1.082179, -1.805228, -0.057822, 0.399161, 0.006395, 33.006470
4088, 1653, 10.070012, 1.079785, -1.640028, -0.032508, 0.371982, -0.017853, 32.997646
4098, 1680, 10.192117, 1.127669, -1.587356, -0.007727, 0.308297, -0.042101, 32.985882
4108, 1687, 10.285490, 1.144428, -1.534683, 0.013856, 0.234487, -0.053559, 32.982941
4118, 1686, 10.323798, 1.055843, -1.534683, 0.018919, 0.168404, -0.047963, 32.977058
4128, 1676, 10.290278, 0.857124, -1.388637, 0.001599, 0.115911, -0.037838, 32.980000
4138, 1678, 10.247183, 0.670376, -1.163582, -0.008260, 0.075142, -0.033308, 32.985882
4148, 1685, 10.026917, 0.507571, -1.067814, 0.011724, 0.058622, -0.027712, 32.994705
4158, 1705, 9.780313, 0.395043, -1.134852, 0.031176, 0.082603, -0.011724, 32.988823
4168, 1750, 9.648633, 0.318429, -1.182736, 0.039703, 0.136695, 0.007727, 32.980000
4178, 1730, 9.603143, 0.282516, -1.182736, 0.039170, 0.190521, 0.029311, 32.997646
4188, 1744, 9.631873, 0.318429, -1.156399, 0.029577, 0.228891, 0.050095, 32.985882
4198, 1740, 9.751583, 0.617704, -1.086968, 0.034107, 0.256337, 0.068747, 32.988823
4208, 1767, 9.897630, 1.036689, -0.969652, 0.077008, 0.264064, 0.077274, 32.982941
4218, 1735, 9.945514, 1.316811, -0.893037, 0.140692, 0.252873, 0.068481, 32.994705
4228, 1686, 9.756371, 1.362301, -0.814029, 0.188655, 0.249675, 0.042900, 32.994705
4238, 1633, 9.586384, 1.170765, -0.746991, 0.204910, 0.265930, 0.026380, 33.009411
4248, 1589, 9.586384, 0.861913, -0.699107, 0.207041, 0.298438, 0.028778, 33.003529
4258, 1574, 9.660604, 0.548272, -0.588974, 0.201179, 0.318156, 0.041568, 32.997646
4268, 1535, 9.804255, 0.411803, -0.371101, 0.193718, 0.298971, 0.053559, 33.006470
4278, 1525, 9.916783, 0.445322, -0.019154, 0.193718, 0.238750, 0.065283, 33.006470
4288, 1535, 9.780313, 0.495600, 0.093374, 0.196116, 0.197182, 0.077274, 33.003529
4298, 1569, 9.643845, 0.584185, 0.172383, 0.197182, 0.211838, 0.082603, 32.994705
4308, 1599, 9.593566, 0.658405, 0.248997, 0.183060, 0.247810, 0.083403, 33.003529
4318, 1607, 9.607931, 0.713472, 0.320823, 0.168404, 0.292576, 0.079939, 32.985882
4328, 1599, 9.612720, 0.782904, 0.330400, 0.157479, 0.314959, 0.073277, 32.991764
4338, 1569, 9.545682, 0.900220, 0.277727, 0.147354, 0.322686, 0.056490, 33.003529
4348, 1565, 9.493010, 0.979228, 0.189142, 0.124704, 0.315492, 0.034640, 33.000587
4358, 1534, 9.507375, 0.984017, 0.047884, 0.090331, 0.301636, 0.008527, 33.003529
4368, 1535, 9.579201, 0.967257, -0.098162, 0.062619, 0.298438, -0.014922, 32.994705
4378, 1530, 9.684546, 0.931344, -0.275333, 0.051161, 0.301369, -0.029844, 32.985882
4388, 1521, 9.794679, 0.928950, -0.438139, 0.052227, 0.307498, -0.039969, 32.988823
4398, 1526, 9.871294, 0.967257, -0.553061, 0.066349, 0.297639, -0.040769, 32.980000
4408, 1535, 9.900024, 0.964863, -0.560243, 0.087133, 0.278453, -0.031176, 32.982941
4418, 1616, 9.952697, 0.893037, -0.608127, 0.107651, 0.261133, -0.019985, 32.991764
4428, 1677, 10.055647, 0.806846, -0.588974, 0.115112, 0.240616, -0.007727, 32.985882
4438, 1653, 10.084377, 0.670376, -0.586579, 0.120441, 0.223828, 0.002398, 32.997646
4448, 1600, 10.089166, 0.507571, -0.497994, 0.114845, 0.205443, 0.006129, 32.988823
4458, 1517, 10.093954, 0.390255, -0.428562, 0.106851, 0.190787, 0.002132, 33.006470
4468, 1507, 10.055647, 0.349553, -0.383072, 0.095394, 0.186524, 0.003997, 33.006470
4478, 1506, 10.074800, 0.292093, -0.320823, 0.072211, 0.182793, 0.003198, 32.991764
4488, 1492, 10.117896, 0.308852, -0.296881, 0.038637, 0.169470, 0.010925, 33.009411
4498, 1494, 10.125079, 0.289698, -0.289698, 0.003198, 0.147620, 0.014123, 33.012352
4508, 1469, 10.146626, 0.330400, -0.203507, -0.027446, 0.120175, 0.027179, 33.009411
4518, 1475, 10.201694, 0.349553, -0.184354, -0.047963, 0.091397, 0.032775, 33.015293
4528, 1457, 10.251971, 0.363919, -0.172383, -0.059688, 0.057556, 0.037571, 32.982941
4538, 1396, 10.247183, 0.404620, -0.179565, -0.064217, 0.020784, 0.043433, 32.991764
4548, 1193, 10.168175, 0.450110, -0.191536, -0.066882, -0.014123, 0.048763, 33.006470
4558, 1642, 10.024523, 0.514753, -0.225055, -0.070613, -0.042101, 0.051960, 33.003529
4568, 3019, 9.885659, 0.567426, -0.260968, -0.080205, -0.058089, 0.050095, 33.012352
4578, 3206, 9.746795, 0.598550, -0.311246, -0.097259, -0.064750, 0.047164, 33.009411
4588, 1904, 9.660604, 0.641646, -0.354342, -0.116178, -0.049828, 0.041302, 33.027058
4598, 1450, 9.696517, 0.727837, -0.347159, -0.129501, -0.032775, 0.023715, 33.027058
4608, 1347, 9.758766, 0.811634, -0.304064, -0.132698, -0.023449, 0.004263, 33.024117
4618, 1307, 9.832987, 0.900220, -0.124498, -0.116178, -0.057822, -0.003997, 33.006470
4628, 1279, 9.710882, 0.952892, -0.043096, -0.106585, -0.073810, -0.000266, 33.006470
4638, 1298, 9.624691, 0.981623, -0.112527, -0.111914, -0.065017, 0.000266, 33.003529
4648, 1335, 9.619903, 1.015141, -0.256180, -0.128701, -0.035706, -0.002665, 32.994705
4658, 1334, 9.684546, 1.010353, -0.306458, -0.129234, -0.011191, -0.010658, 33.000587
4668, 1343, 9.722853, 0.957681, -0.323217, -0.111648, -0.001066, -0.021850, 32.988823
4678, 1355, 9.761160, 0.955287, -0.289698, -0.088998, -0.002398, -0.030910, 32.977058
4688, 1328, 9.770737, 0.957681, -0.311246, -0.068747, -0.006662, -0.035173, 33.003529
4698, 1312, 9.809045, 0.952892, -0.371101, -0.054625, -0.008793, -0.039436, 33.006470
4708, 1347, 9.873688, 0.950498, -0.330400, -0.043700, -0.017587, -0.044499, 33.009411
4718, 1354, 9.868899, 0.897826, -0.220267, -0.030110, -0.025580, -0.043700, 33.015293
4728, 1398, 9.825804, 0.873884, -0.210690, -0.017054, -0.015988, -0.041035, 33.009411
4738, 1424, 9.768343, 0.859518, -0.227449, -0.007461, 0.011724, -0.041302, 32.997646
4748, 1453, 9.818622, 0.833182, -0.270545, -0.002931, 0.038637, -0.043167, 33.003529
4758, 1488, 9.904813, 0.806846, -0.270545, 0.001332, 0.051960, -0.045565, 33.027058
4768, 1494, 9.952697, 0.787692, -0.256180, 0.010658, 0.047963, -0.046364, 33.012352
4778, 1510, 9.883265, 0.754174, -0.229843, 0.021317, 0.035972, -0.039969, 33.009411
4788, 1515, 9.792285, 0.651223, -0.265756, 0.027179, 0.022383, -0.030910, 32.997646
4798, 1502, 9.730036, 0.565032, -0.268151, 0.029577, 0.015988, -0.019718, 33.006470
4808, 1472, 9.694122, 0.548272, -0.294487, 0.031709, 0.017054, -0.007994, 33.015293
4818, 1459, 9.689334, 0.512359, -0.304064, 0.032775, 0.021583, -0.001332, 33.018234
4828, 1442, 9.720459, 0.493206, -0.241814, 0.035173, 0.027979, 0.000799, 33.015293
4838, 1426, 9.756371, 0.493206, -0.225055, 0.038371, 0.029844, 0.001599, 33.015293
4848, 1435, 9.813833, 0.536301, -0.102951, 0.042900, 0.026913, 0.004530, 33.009411
4858, 1439, 9.921572, 0.627281, -0.059855, 0.044233, 0.008527, 0.011458, 33.024117
4868, 1424, 9.897630, 0.715866, -0.086191, 0.037305, 0.002398, 0.013856, 33.015293
4878, 1462, 9.909601, 0.739808, -0.107739, 0.031176, 0.008527, 0.011458, 33.018234
4888, 1474, 9.945514, 0.794875, -0.100556, 0.026913, 0.007194, 0.010658, 33.021175
4898, 1476, 9.938332, 0.883460, -0.102951, 0.028511, -0.004263, 0.018919, 33.029999
4908, 1488, 9.871294, 0.914585, -0.098162, 0.033041, -0.021317, 0.025847, 33.024117
4918, 1518, 9.816227, 0.928950, -0.114922, 0.035706, -0.042101, 0.031975, 33.018234
